code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4207106,Ilhota ,58.48,63.92,16.13,87.1,2.15,31.72,1.55,0.09,10.71,5.36,17.31,4.49,14.1,32.92,0,1.79,81.89,23.46,13.84,10.71,10.71,25,4.12
4207205,Imarui,80.13,34,0.69,74.91,37.11,48.11,0.69,6.45,12.25,3.75,47.71,13.14,40.86,44.57,0,4.75,92.6,33.33,17.63,16.88,6,16.75,12.33
4207304,Imbituba ,95.5,35.86,15.38,65.38,7.69,38.46,0.35,0,16.22,2.7,12.73,1.82,10.91,45.54,0,0.9,89.72,38.39,12.61,11.71,6.31,20.72,9.82
4207403,Imbuia ,4.83,89.71,0.16,90.63,0.65,5.49,1.38,0,17.52,2.11,3.79,1.67,7.27,97.72,0,1.51,64.5,23.44,87.61,43.96,54.53,17.82,17.66
4207502,Indaial ,49.1,59.87,18.12,59.42,31.52,80.43,60.87,0,12.08,22.11,15.73,4.87,21.72,68.22,2.63,2.57,94.76,38.93,17.74,11.83,5.91,30.59,17.03
4207577,Iomere,72.11,34.64,0.81,85.48,0,86.29,3.47,0,11.57,0,94.95,91.92,3.03,65.93,0,25.52,94.48,32.62,24.04,35.01,17.51,7.72,16.46
4207601,Ipira ,30.57,83.03,32.61,78.78,13.73,53.98,2.51,0,37.29,18.14,67.78,71.43,16.67,77.23,33.33,59.29,84.5,50.35,70.43,18.14,47.14,15.29,39.55
4207650,Ipora do Oeste ,15.08,92.73,4.49,95.19,21.53,77.12,0.39,0.16,48.1,30.97,78.85,72.38,41.79,80.72,10.34,68.82,51.34,31.56,68.21,35.9,70.77,14.77,31.26
4207684,Ipuacu ,25.46,68.51,24.46,89.25,10.75,41.13,40.5,0,41.55,37.68,67.49,87.33,31.68,78.25,100,56.01,69.22,41.88,62.32,38.49,42.57,13.03,27.2
4207700,Ipumirim ,37.75,83.75,7.88,73.72,0,85.48,42.54,0.27,59.89,17.87,74.39,71.93,32.21,51.67,.,59.78,84.36,39.45,73.6,47.3,58.88,21.35,33.37
4207759,Iraceminha ,11.07,89.51,17.43,97.57,20.29,41.14,1.68,0,40.05,23.19,69.63,83.95,21.49,95.59,66.67,75.36,87.58,33.33,73.25,31.36,67.46,14.49,60.13
4207809,Irani ,20.76,80.77,0.37,87.45,0.55,83.58,29.67,1.14,47.58,38.41,91.62,88,8.95,85.69,0,70.59,79.09,35.69,63.84,32.7,59.17,19.55,33.6
4207858,Irati ,18.08,77.72,20.14,94.88,0,3.41,3.58,0,43.56,6.03,98.59,98.94,0,30.23,.,74.79,51.77,61.01,51.78,8.22,56.99,20.55,28.93
4207908,Irineopolis ,18.54,79.22,3.53,98.85,30.74,4.42,0.27,0,8.56,11.89,26.46,37.22,11.57,74.26,0,26.31,64.79,31.7,63.55,36.93,43.42,20.05,18.08
4208005,Ita,33.45,91.07,3.27,52.45,10.62,90.03,54.02,7.69,41.6,83.02,58.49,45.18,20.67,76.18,0,38.54,79.3,42.16,77.08,39.39,50.25,22.41,31.19
4208104,Itaiopolis ,22.36,78.98,0.25,97.25,17.24,7.07,2.68,0.16,9.84,18.76,22.79,33.27,8.81,88.22,36.36,23.99,82.61,34.48,56.9,0.05,39.89,18.06,17.67
4208203,Itajai,62.6,48.78,13.57,80.71,3.57,62.14,40.92,5.8,11.38,6.91,29.01,2.47,27.16,71.06,5.17,1.63,87.29,22.36,25.2,13.01,11.79,31.71,13.5
4208302,Itapema ,86.76,36.36,31.25,46.88,0,53.13,1.05,4.29,0,5.88,50,3.85,46.15,52.86,10,.,82.35,39.73,23.53,38.24,5.88,45.59,20.55
4208401,Itapiranga ,31.04,84.4,1.79,88.68,24.84,88.6,1.14,0,54.59,28.65,39.65,65.79,35.57,87.01,3.48,57.76,78.74,33.44,76.14,26.25,57.14,20.77,52.37
4208450,Itapoa ,76.92,76.92,40,65,5,20,12.23,0.9,23.08,30.77,41.67,0,41.67,56.25,0,.,75,50,46.15,7.69,7.69,30.77,12.5
4208500,Ituporanga ,6.96,92.33,2.47,99.31,18.19,22.72,0,0,14.06,3.41,22.98,34.14,13.96,94.29,0.56,29.23,71.99,21.83,52.26,37.79,57.55,17.33,18.05
4208609,Jabora ,11.66,88.69,1.79,81.87,0,85.86,64.01,1.03,52.7,44.71,95.87,92.93,7.47,91.33,100,85.1,73.91,34.34,72.79,49.03,70.84,16.2,25.47
4208708,Jacinto Machado ,26.85,76.9,2.71,93.93,42.73,13.23,0.53,0,3.27,5.89,34.88,11.76,33.33,28.28,0,7.58,71.5,34.72,72.12,19.64,26.38,18.9,17.89
4208807,Jaguaruna ,67.46,49.72,8.29,77.4,9.04,43.69,3.84,0,4.75,15.6,25.53,0.3,25.23,56.7,0,0.21,90.68,40.74,38.43,8.16,16.01,20.14,10.66
4208906,Jaragua do Sul ,52.54,54.79,5.96,69.23,4.81,52.69,0.28,0,7.13,7.13,34.57,11.14,24.36,47.27,4.27,5.07,92.88,42.52,24.03,11.96,9.06,22.83,23.24
